source_id,exists,bytes,local_path,url
MED-001,true,292468,references/inbox/medical/ICH_M11_Final_Guideline_2025.pdf,https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Guideline_2025_1119.pdf
MED-002,true,998957,references/inbox/medical/ICH_M11_Final_Template_2025.pdf,https://database.ich.org/sites/default/files/ICH_Step4_M11_Final_Template_2025_1119.pdf
MED-003,true,142954,references/inbox/medical/ICH_M11_Explainer_2026.pdf,https://database.ich.org/sites/default/files/ICH%20M11%20Explainer_May2026.pdf
MED-004,true,34963,references/inbox/medical/FDA_M11_CeSHarP.html,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m11-clinical-electronic-structured-harmonised-protocol
MED-005,true,83622,references/inbox/medical/EMA_ICH_M11_overview.html,https://www.ema.europa.eu/en/ich-m11-guideline-clinical-study-protocol-template-technical-specifications-scientific-guideline
MED-006,true,125159,references/inbox/medical/SPIRIT_2013_Checklist.pdf,https://www.spirit-statement.org/wp-content/uploads/2013/01/SPIRIT-Checklist-download-8Jan13.pdf
MED-007,true,704749,references/inbox/medical/SPIRIT_2013_Statement.pdf,https://www.spirit-statement.org/wp-content/uploads/SPIRIT_2013_Statement_FR_final.pdf
MED-008,true,579567,references/inbox/medical/SPIRIT_home_SEPTRE.html,https://www.spirit-statement.org/
MED-009,true,214635,references/inbox/medical/SPIRIT_AI_Extension_PMC.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC8212701/
MED-010,true,3038,references/inbox/medical/CONSORT_2010_BMC.html,https://link.springer.com/article/10.1186/1741-7015-8-18
MED-011,true,94295,references/inbox/medical/ClinicalTrialsGov_Protocol_Definitions.html,https://clinicaltrials.gov/policy/protocol-definitions
MED-012,true,962385,references/inbox/medical/NIH_FDA_Clinical_Trial_Protocol_Template.pdf,https://www.fda.gov/media/152143/download
MED-013,true,833486,references/inbox/medical/ICH_E6_R3_Final_Guideline_2025.pdf,https://database.ich.org/sites/default/files/ICH_E6%28R3%29_Step4_FinalGuideline_2025_0106.pdf
MED-014,true,368189,references/inbox/medical/ICH_E8_R1_2021.pdf,https://database.ich.org/sites/default/files/E8-R1_Guideline_Step4_2021_1006.pdf
MED-015,true,291493,references/inbox/medical/ICH_E9_Statistical_Principles.pdf,https://database.ich.org/sites/default/files/E9_Guideline.pdf
MED-016,true,160629,references/inbox/medical/ICH_E9_R1_Estimands.pdf,https://database.ich.org/sites/default/files/E9-R1_Step4_Guideline_2019_1203.pdf
MED-017,true,118682,references/inbox/medical/Endpoint_Changes_PMC.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC1852589/
MED-018,true,179464,references/inbox/medical/Common_Clinical_Trial_Amendments_PMC.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC9811046/
MED-019,true,109495,references/inbox/medical/Protocol_Amendments_PubMed.html,https://pubmed.ncbi.nlm.nih.gov/30227022/
MED-020,true,951,references/inbox/medical/Protocol_Amendments_SAGE.html,https://journals.sagepub.com/doi/10.1177/2168479016632271
MED-021,true,134217,references/inbox/medical/New_Benchmarks_Protocol_Amendments_PubMed.html,https://pubmed.ncbi.nlm.nih.gov/38438658/
MED-022,true,221653,references/inbox/medical/Protocol_Complexity_Tool_PMC.html,https://pmc.ncbi.nlm.nih.gov/articles/PMC12395810/
MED-023,true,40656,references/inbox/medical/FDA_ICH_Guidance_Index.html,https://www.fda.gov/science-research/clinical-trials-and-human-subject-protection/ich-guidance-documents
BUS-001,true,299085,references/inbox/business/Veeva_Clinical_Operations.html,https://www.veeva.com/products/clinical-operations/
BUS-002,true,295013,references/inbox/business/Veeva_Clinical_Platform.html,https://www.veeva.com/products/veeva-clinical-platform/
BUS-003,true,47711,references/inbox/business/Veeva_Registrations_Protocols_Help.html,https://clinical.veevavault.help/en/lr/899718/
BUS-004,true,1560196,references/inbox/business/Oracle_Clinical_One_Overview.pdf,https://www.oracle.com/a/ocom/docs/industries/life-sciences/clinical-one-overview-solution-brief.pdf
BUS-005,true,45391,references/inbox/business/Oracle_Clinical_Trial_Data_Collection.html,https://www.oracle.com/ae/life-sciences/clinical-trial-data-collection/
BUS-006,true,5355,references/inbox/business/Oracle_Applying_Protocol_Amendments.html,https://docs.oracle.com/cd/G26828_01/books/CTMS/c-Applying-Protocol-Amendments-to-Sites-and-Clinical-Subjects--ad1003746.html
BUS-007,true,736708,references/inbox/business/Medidata_AI.html,https://www.medidata.com/en/clinical-trial-products/medidata-ai/
BUS-008,true,947579,references/inbox/business/Medidata_Clinical_Data_Studio.html,https://www.medidata.com/en/data-experience/clinical-data-studio/
BUS-009,true,660155,references/inbox/business/Medidata_AI_Study_Build.html,https://www.medidata.com/en/life-science-resources/medidata-blog/ai-study-build/
BUS-010,true,121255,references/inbox/business/Medidata_Clinical_Data_Studio_PR.html,https://www.3ds.com/newsroom/press-releases/medidata-launches-clinical-data-studio-leveraging-ai-modernize-data-experience-clinical-trials
BUS-011,true,69995,references/inbox/business/Kitsa_AI_Documentation.html,https://kitsa.ai/resources/ai-powered-documentation
